Team,GP,W,L,WIN%,MIN,EFG%,FTA RATE,TOV%,OREB%,OPP EFG%,OPP FTA RATE,OPP TOV%,OPP OREB%,Season,GP_15,W_15,L_15,WIN%_15,OFFRTG,DEFRTG,NETRTG,W_Post,WIN%_Post
San Antonio Spurs,53,45,8,0.849,2544.0,0.535,0.241,0.141,0.269,0.469,0.245,0.155,0.244,2015-16,15,13,2,0.867,112.6,100.8,11.9,22,0.759
Toronto Raptors,52,35,17,0.673,2506.0,0.5,0.326,0.144,0.297,0.495,0.262,0.15,0.26,2015-16,13,11,2,0.846,112.6,105.7,6.9,21,0.7
Utah Jazz,52,26,26,0.5,2536.0,0.497,0.293,0.159,0.308,0.496,0.306,0.156,0.279,2015-16,16,10,6,0.625,107.5,101.3,6.2,14,0.467
Washington Wizards,51,23,28,0.451,2448.0,0.509,0.265,0.147,0.243,0.526,0.276,0.168,0.275,2015-16,16,7,9,0.438,107.1,108.9,-1.8,18,0.581
Atlanta Hawks,56,32,24,0.571,2723.0,0.507,0.284,0.156,0.28,0.508,0.229,0.156,0.288,2016-17,17,10,7,0.588,106.7,107.9,-1.2,11,0.423
Boston Celtics,57,37,20,0.649,2751.0,0.528,0.261,0.131,0.258,0.506,0.29,0.145,0.303,2016-17,17,12,5,0.706,113.7,109.7,4.0,16,0.64
Brooklyn Nets,56,9,47,0.161,2703.0,0.507,0.276,0.166,0.243,0.518,0.27,0.128,0.292,2016-17,17,1,16,0.059,105.1,112.3,-7.3,11,0.423
Charlotte Hornets,56,24,32,0.429,2703.0,0.496,0.284,0.125,0.252,0.512,0.213,0.132,0.251,2016-17,16,4,12,0.25,105.1,108.0,-2.9,12,0.462
Chicago Bulls,57,28,29,0.491,2746.0,0.478,0.284,0.141,0.326,0.513,0.216,0.137,0.266,2016-17,16,8,8,0.5,108.0,110.0,-2.0,13,0.52
Cleveland Cavaliers,55,39,16,0.709,2660.0,0.542,0.29,0.141,0.281,0.513,0.22,0.138,0.28,2016-17,16,10,6,0.625,115.5,111.5,4.0,12,0.444
Dallas Mavericks,56,22,34,0.393,2708.0,0.506,0.22,0.125,0.217,0.529,0.288,0.162,0.268,2016-17,17,10,7,0.588,109.9,105.0,4.9,11,0.423
Denver Nuggets,56,25,31,0.446,2703.0,0.52,0.286,0.155,0.334,0.534,0.256,0.119,0.248,2016-17,18,10,8,0.556,115.3,114.3,1.0,15,0.577
Detroit Pistons,57,27,30,0.474,2746.0,0.499,0.221,0.128,0.28,0.512,0.261,0.133,0.23,2016-17,15,9,6,0.6,108.3,106.0,2.3,10,0.4
Golden State Warriors,56,47,9,0.839,2708.0,0.571,0.268,0.144,0.266,0.488,0.263,0.151,0.282,2016-17,16,13,3,0.813,118.5,104.5,14.0,20,0.769
Houston Rockets,58,40,18,0.69,2804.0,0.548,0.291,0.153,0.283,0.517,0.257,0.152,0.281,2016-17,16,9,7,0.563,112.0,106.8,5.2,15,0.625
Indiana Pacers,57,29,28,0.509,2761.0,0.515,0.27,0.141,0.241,0.512,0.283,0.153,0.29,2016-17,18,9,9,0.5,109.2,109.5,-0.3,13,0.52
LA Clippers,56,35,21,0.625,2698.0,0.531,0.301,0.134,0.258,0.499,0.278,0.136,0.271,2016-17,14,7,7,0.5,110.8,113.1,-2.3,16,0.615
Los Angeles Lakers,58,19,39,0.328,2784.0,0.498,0.27,0.154,0.289,0.537,0.279,0.141,0.282,2016-17,14,4,10,0.286,104.4,111.7,-7.3,7,0.292
Memphis Grizzlies,58,34,24,0.586,2824.0,0.486,0.291,0.138,0.293,0.497,0.36,0.154,0.269,2016-17,16,9,7,0.563,111.1,107.9,3.2,9,0.375
Miami Heat,57,25,32,0.439,2751.0,0.506,0.251,0.141,0.278,0.497,0.276,0.139,0.282,2016-17,16,14,2,0.875,112.9,104.7,8.2,16,0.64
Milwaukee Bucks,55,25,30,0.455,2655.0,0.53,0.286,0.146,0.27,0.517,0.283,0.153,0.295,2016-17,17,5,12,0.294,109.2,113.8,-4.6,17,0.63
Minnesota Timberwolves,57,22,35,0.386,2751.0,0.511,0.286,0.148,0.304,0.53,0.28,0.148,0.286,2016-17,17,8,9,0.471,112.1,112.8,-0.7,9,0.36
New Orleans Pelicans,57,23,34,0.404,2771.0,0.501,0.256,0.13,0.226,0.505,0.234,0.137,0.272,2016-17,16,7,9,0.438,106.0,109.9,-3.9,11,0.44
